"cor","freq"
0,0
1e-04,0
2e-04,0
3e-04,0
4e-04,0
5e-04,0
6e-04,0
7e-04,0
8e-04,0
9e-04,0
0.001,0
0.0011,0
0.0012,0
0.0013,0
0.0014,0
0.0015,0
0.0016,0
0.0017,0
0.0018,0
0.0019,0
0.002,0
0.0021,0
0.0022,0
0.0023,0
0.0024,0
0.0025,0
0.0026,0
0.0027,0
0.0028,0
0.0029,0
0.003,0
0.0031,0
0.0032,0
0.0033,0
0.0034,0
0.0035,0
0.0036,0
0.0037,0
0.0038,0
0.0039,0
0.004,0
0.0041,0
0.0042,0
0.0043,0
0.0044,0
0.0045,0
0.0046,0
0.0047,0
0.0048,0
0.0049,0
0.005,0
0.0051,0
0.0052,0
0.0053,0
0.0054,0
0.0055,0
0.0056,0
0.0057,0
0.0058,0
0.0059,0
0.006,0
0.0061,0
0.0062,0
0.0063,0
0.0064,0
0.0065,0
0.0066,0
0.0067,0
0.0068,0
0.0069,0
0.007,0
0.0071,0
0.0072,0
0.0073,0
0.0074,0
0.0075,0
0.0076,0
0.0077,0
0.0078,0
0.0079,0
0.008,0
0.0081,0
0.0082,0
0.0083,0
0.0084,0
0.0085,0
0.0086,0
0.0087,0
0.0088,0
0.0089,0
0.009,0
0.0091,0
0.0092,0
0.0093,0
0.0094,0
0.0095,0
0.0096,0
0.0097,0
0.0098,0
0.0099,0
0.01,0
0.0101,0
0.0102,0
0.0103,0
0.0104,0
0.0105,0
0.0106,0
0.0107,0
0.0108,0
0.0109,0
0.011,0
0.0111,0
0.0112,0
0.0113,0
0.0114,0
0.0115,0
0.0116,0
0.0117,0
0.0118,0
0.0119,0
0.012,0
0.0121,0
0.0122,0
0.0123,0
0.0124,0
0.0125,0
0.0126,0
0.0127,0
0.0128,0
0.0129,0
0.013,0
0.0131,0
0.0132,0
0.0133,0
0.0134,0
0.0135,0
0.0136,0
0.0137,0
0.0138,0
0.0139,0
0.014,0
0.0141,0
0.0142,0
0.0143,0
0.0144,0
0.0145,0
0.0146,0
0.0147,0
0.0148,0
0.0149,0
0.015,0
0.0151,0
0.0152,0
0.0153,0
0.0154,0
0.0155,0
0.0156,0
0.0157,0
0.0158,0
0.0159,0
0.016,0
0.0161,0
0.0162,0
0.0163,0
0.0164,0
0.0165,0
0.0166,0
0.0167,0
0.0168,0
0.0169,0
0.017,0
0.0171,0
0.0172,0
0.0173,0
0.0174,0
0.0175,0
0.0176,0
0.0177,0
0.0178,0
0.0179,0
0.018,0
0.0181,0
0.0182,0
0.0183,0
0.0184,0
0.0185,0
0.0186,0
0.0187,0
0.0188,0
0.0189,0
0.019,0
0.0191,0
0.0192,0
0.0193,0
0.0194,0
0.0195,0
0.0196,0
0.0197,0
0.0198,0
0.0199,0
0.02,0
0.0201,0
0.0202,0
0.0203,0
0.0204,0
0.0205,0
0.0206,0
0.0207,0
0.0208,0
0.0209,0
0.021,0
0.0211,0
0.0212,0
0.0213,0
0.0214,0
0.0215,0
0.0216,0
0.0217,0
0.0218,0
0.0219,0
0.022,0
0.0221,0
0.0222,0
0.0223,0
0.0224,0
0.0225,0
0.0226,0
0.0227,0
0.0228,0
0.0229,0
0.023,0
0.0231,0
0.0232,0
0.0233,0
0.0234,0
0.0235,0
0.0236,0
0.0237,0
0.0238,0
0.0239,0
0.024,0
0.0241,0
0.0242,0
0.0243,0
0.0244,0
0.0245,0
0.0246,0
0.0247,0
0.0248,0
0.0249,0
0.025,0
0.0251,0
0.0252,0
0.0253,0
0.0254,0
0.0255,0
0.0256,0
0.0257,0
0.0258,0
0.0259,0
0.026,0
0.0261,0
0.0262,0
0.0263,0
0.0264,0
0.0265,0
0.0266,0
0.0267,0
0.0268,0
0.0269,0
0.027,0
0.0271,0
0.0272,0
0.0273,0
0.0274,0
0.0275,0
0.0276,0
0.0277,0
0.0278,0
0.0279,0
0.028,0
0.0281,0
0.0282,0
0.0283,0
0.0284,0
0.0285,0
0.0286,0
0.0287,0
0.0288,0
0.0289,0
0.029,0
0.0291,0
0.0292,0
0.0293,0
0.0294,0
0.0295,0
0.0296,0
0.0297,0
0.0298,0
0.0299,0
0.03,0
0.0301,0
0.0302,0
0.0303,0
0.0304,0
0.0305,0
0.0306,0
0.0307,0
0.0308,0
0.0309,0
0.031,0
0.0311,0
0.0312,0
0.0313,0
0.0314,0
0.0315,0
0.0316,0
0.0317,0
0.0318,0
0.0319,0
0.032,0
0.0321,0
0.0322,0
0.0323,0
0.0324,0
0.0325,0
0.0326,0
0.0327,0
0.0328,0
0.0329,0
0.033,0
0.0331,0
0.0332,0
0.0333,0
0.0334,0
0.0335,0
0.0336,0
0.0337,0
0.0338,0
0.0339,0
0.034,0
0.0341,0
0.0342,0
0.0343,0
0.0344,0
0.0345,0
0.0346,0
0.0347,0
0.0348,0
0.0349,0
0.035,0
0.0351,0
0.0352,0
0.0353,0
0.0354,0
0.0355,0
0.0356,0
0.0357,0
0.0358,0
0.0359,0
0.036,0
0.0361,0
0.0362,0
0.0363,0
0.0364,0
0.0365,1
0.0366,0
0.0367,0
0.0368,0
0.0369,1
0.037,0
0.0371,1
0.0372,1
0.0373,0
0.0374,0
0.0375,2
0.0376,0
0.0377,0
0.0378,1
0.0379,1
0.038,1
0.0381,1
0.0382,0
0.0383,2
0.0384,1
0.0385,2
0.0386,0
0.0387,0
0.0388,1
0.0389,2
0.039,1
0.0391,3
0.0392,1
0.0393,0
0.0394,3
0.0395,1
0.0396,3
0.0397,2
0.0398,4
0.0399,3
0.04,2
0.0401,0
0.0402,1
0.0403,2
0.0404,1
0.0405,4
0.0406,5
0.0407,2
0.0408,4
0.0409,6
0.041,3
0.0411,4
0.0412,12
0.0413,3
0.0414,3
0.0415,5
0.0416,5
0.0417,6
0.0418,8
0.0419,2
0.042,6
0.0421,5
0.0422,5
0.0423,4
0.0424,6
0.0425,6
0.0426,6
0.0427,8
0.0428,10
0.0429,6
0.043,8
0.0431,7
0.0432,3
0.0433,11
0.0434,14
0.0435,7
0.0436,10
0.0437,12
0.0438,3
0.0439,8
0.044,8
0.0441,8
0.0442,6
0.0443,12
0.0444,12
0.0445,9
0.0446,15
0.0447,13
0.0448,17
0.0449,13
0.045,11
0.0451,10
0.0452,10
0.0453,17
0.0454,16
0.0455,16
0.0456,12
0.0457,15
0.0458,21
0.0459,21
0.046,20
0.0461,22
0.0462,23
0.0463,16
0.0464,21
0.0465,19
0.0466,24
0.0467,23
0.0468,20
0.0469,15
0.047,28
0.0471,18
0.0472,22
0.0473,25
0.0474,16
0.0475,20
0.0476,24
0.0477,24
0.0478,15
0.0479,23
0.048,27
0.0481,24
0.0482,23
0.0483,24
0.0484,26
0.0485,22
0.0486,28
0.0487,26
0.0488,27
0.0489,22
0.049,32
0.0491,23
0.0492,27
0.0493,25
0.0494,30
0.0495,22
0.0496,42
0.0497,30
0.0498,38
0.0499,32
0.05,40
0.0501,33
0.0502,41
0.0503,47
0.0504,38
0.0505,49
0.0506,29
0.0507,28
0.0508,22
0.0509,40
0.051,32
0.0511,33
0.0512,43
0.0513,32
0.0514,40
0.0515,49
0.0516,34
0.0517,46
0.0518,43
0.0519,38
0.052,42
0.0521,34
0.0522,43
0.0523,36
0.0524,45
0.0525,38
0.0526,47
0.0527,42
0.0528,59
0.0529,61
0.053,37
0.0531,49
0.0532,44
0.0533,48
0.0534,36
0.0535,48
0.0536,52
0.0537,37
0.0538,50
0.0539,58
0.054,48
0.0541,57
0.0542,43
0.0543,57
0.0544,50
0.0545,71
0.0546,43
0.0547,64
0.0548,60
0.0549,54
0.055,60
0.0551,51
0.0552,69
0.0553,55
0.0554,53
0.0555,68
0.0556,62
0.0557,70
0.0558,74
0.0559,73
0.056,65
0.0561,81
0.0562,61
0.0563,67
0.0564,60
0.0565,67
0.0566,62
0.0567,61
